model,image,resolution,detections,average confidence
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-06-00.jpg,16,41,0.4267619848251343
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-06-00.jpg,16,49,0.4072360396385193
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-06-00.jpg,16,45,0.41117534041404724
small,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-06-00.jpg,16,55,0.4055277705192566
nano,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-06-00.jpg,16,45,0.40021494030952454
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-12-00.jpg,16,30,0.43115827441215515
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-12-00.jpg,16,35,0.44911614060401917
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-12-00.jpg,16,37,0.4084746539592743
small,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-12-00.jpg,16,39,0.3811672031879425
nano,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-12-00.jpg,16,33,0.34241196513175964
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-13-30.jpg,16,28,0.42226654291152954
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-13-30.jpg,16,37,0.3856309950351715
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-13-30.jpg,16,33,0.35002806782722473
small,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-13-30.jpg,16,29,0.37575411796569824
nano,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-13-30.jpg,16,16,0.36310356855392456
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-17-00.jpg,16,25,0.4472270607948303
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-17-00.jpg,16,35,0.4239043593406677
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-17-00.jpg,16,29,0.40611985325813293
small,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-17-00.jpg,16,31,0.3982618749141693
nano,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-17-00.jpg,16,28,0.40642303228378296
extra_large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-02-00.jpg,16,36,0.4242028295993805
large,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-02-00.jpg,16,42,0.42554351687431335
medium,/home/p01e/p01e_git/data/16mp_20240825/home/lachlan/django-camera/media/ext/142/2024-08-25/full/cam1/2024-08-25-16-02-00.jpg,16,33,0.43109697103500366
