model,image,resolution,detections,average confidence
nano,4MP/2024-08-25-16-25-30.jpg,4,4,0.3406205475330353
extra_large,4MP/2024-08-25-16-36-00.jpg,4,15,0.37507450580596924
large,4MP/2024-08-25-16-36-00.jpg,4,11,0.3304370641708374
medium,4MP/2024-08-25-16-36-00.jpg,4,8,0.3467608690261841
small,4MP/2024-08-25-16-36-00.jpg,4,4,0.36841630935668945
nano,4MP/2024-08-25-16-36-00.jpg,4,4,0.3332020342350006
extra_large,4MP/2024-08-25-16-28-00.jpg,4,10,0.3483985364437103
large,4MP/2024-08-25-16-28-00.jpg,4,9,0.3628540635108948
medium,4MP/2024-08-25-16-28-00.jpg,4,4,0.39808565378189087
small,4MP/2024-08-25-16-28-00.jpg,4,7,0.34502023458480835
nano,4MP/2024-08-25-16-28-00.jpg,4,4,0.3617118000984192
extra_large,4MP/2024-08-25-16-21-30.jpg,4,12,0.3869468867778778
large,4MP/2024-08-25-16-21-30.jpg,4,9,0.355027973651886
medium,4MP/2024-08-25-16-21-30.jpg,4,7,0.3629363179206848
small,4MP/2024-08-25-16-21-30.jpg,4,8,0.335776150226593
nano,4MP/2024-08-25-16-21-30.jpg,4,4,0.4282234013080597
extra_large,4MP/2024-08-25-16-24-00.jpg,4,14,0.3801654875278473
large,4MP/2024-08-25-16-24-00.jpg,4,9,0.32409968972206116
medium,4MP/2024-08-25-16-24-00.jpg,4,6,0.3882722556591034
small,4MP/2024-08-25-16-24-00.jpg,4,8,0.3632349371910095
nano,4MP/2024-08-25-16-24-00.jpg,4,4,0.32644420862197876
extra_large,4MP/2024-08-25-16-33-30.jpg,4,15,0.3593609929084778
large,4MP/2024-08-25-16-33-30.jpg,4,7,0.3505031168460846
medium,4MP/2024-08-25-16-33-30.jpg,4,5,0.4101603031158447
small,4MP/2024-08-25-16-33-30.jpg,4,6,0.2964136600494385
nano,4MP/2024-08-25-16-33-30.jpg,4,3,0.32119110226631165
extra_large,4MP/2024-08-25-16-31-30.jpg,4,13,0.3500601053237915
large,4MP/2024-08-25-16-31-30.jpg,4,10,0.34288492798805237
medium,4MP/2024-08-25-16-31-30.jpg,4,6,0.314973384141922
small,4MP/2024-08-25-16-31-30.jpg,4,5,0.26582300662994385
nano,4MP/2024-08-25-16-31-30.jpg,4,3,0.3319850265979767
extra_large,4MP/2024-08-25-16-38-00.jpg,4,11,0.38723039627075195
large,4MP/2024-08-25-16-38-00.jpg,4,14,0.41777849197387695
medium,4MP/2024-08-25-16-38-00.jpg,4,6,0.35882997512817383
small,4MP/2024-08-25-16-38-00.jpg,4,2,0.4559163749217987
nano,4MP/2024-08-25-16-38-00.jpg,4,3,0.4254664480686188
extra_large,4MP/2024-08-25-16-26-00.jpg,4,10,0.33024486899375916
large,4MP/2024-08-25-16-26-00.jpg,4,10,0.33514970541000366
medium,4MP/2024-08-25-16-26-00.jpg,4,3,0.35443115234375
small,4MP/2024-08-25-16-26-00.jpg,4,6,0.371968537569046
nano,4MP/2024-08-25-16-26-00.jpg,4,8,0.3017602264881134
extra_large,4MP/2024-08-25-16-23-30.jpg,4,13,0.3491743206977844
large,4MP/2024-08-25-16-23-30.jpg,4,6,0.3769512474536896
medium,4MP/2024-08-25-16-23-30.jpg,4,6,0.38231706619262695
small,4MP/2024-08-25-16-23-30.jpg,4,8,0.33599138259887695
nano,4MP/2024-08-25-16-23-30.jpg,4,7,0.3697226941585541
extra_large,4MP/2024-08-25-16-34-00.jpg,4,16,0.3430090546607971
large,4MP/2024-08-25-16-34-00.jpg,4,12,0.32316264510154724
medium,4MP/2024-08-25-16-34-00.jpg,4,7,0.35120755434036255
small,4MP/2024-08-25-16-34-00.jpg,4,5,0.3518260419368744
nano,4MP/2024-08-25-16-34-00.jpg,4,2,0.2602137327194214
